ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
68376,Markus Lehmann,M,24.0,155.0,56.0,Switzerland,SUI,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Mens Rings,NoMedal
80531,Hanako Miura,F,17.0,150.0,40.0,Japan,JPN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Womens Horse Vault,NoMedal
100579,JeanMichel Richeux,M,27.0,175.0,68.0,France,FRA,1976 Summer,1976,Summer,Montreal,Cycling,Cycling Mens 100 kilometres Team Time Trial,NoMedal
36867,Wendy Katrina Fraser,F,25.0,163.0,62.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Womens Hockey,NoMedal
118030,Masao Takemoto,M,40.0,160.0,56.0,Japan,JPN,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Mens Rings,NoMedal
68265,Hubert Jean Daniel Lefbvre,M,21.0,175.0,70.0,Union des Socits Franais de Sports Athletiques,FRA,1900 Summer,1900,Summer,Paris,Rugby,Rugby Mens Rugby,Gold
92174,Stephen Steven Paul,M,25.0,190.0,76.0,Great Britain,GBR,1980 Summer,1980,Summer,Moskva,Fencing,Fencing Mens Foil Team,NoMedal
108600,Zinaida Sendrit,F,31.0,188.0,95.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens Discus Throw,NoMedal
34404,Sergey Fedorchenko,M,25.0,173.0,68.0,Kazakhstan,KAZ,2000 Summer,2000,Summer,Sydney,Gymnastics,Gymnastics Mens Pommelled Horse,NoMedal
5967,Jssica de Barros Augusto,F,34.0,162.0,44.0,Portugal,POR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Womens Marathon,NoMedal
52015,Franois ImbeauDulac,M,21.0,175.0,76.0,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Mens Springboard,NoMedal
114483,Jaroslav astn,M,24.0,171.0,65.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Gymnastics,Gymnastics Mens Rings,NoMedal
19021,Patricia Castro Ortega,F,23.0,178.0,66.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Womens 4 x 100 metres Freestyle Relay,NoMedal
18576,Daniel Joseph Dan Carroll III,M,26.0,178.0,71.0,United States,USA,1976 Winter,1976,Winter,Innsbruck,Speed Skating,Speed Skating Mens 1000 metres,NoMedal
99166,Dirk Rauin,M,27.0,181.0,85.0,West Germany,FRG,1984 Summer,1984,Summer,Los Angeles,Handball,Handball Mens Handball,Silver
